aa_eleicao;nm_regiao;sg_uf;nm_municipio;sg_partido;ds_cargo;cd_cargo;pc_candidato;qt_votos_validos;qt_votos_nom_validos;qt_total_vt_leg_validos
2020;NORTE;AC;ACRELÂNDIA;DEM;Vereador;13;1;127;122;5
2020;NORTE;AC;ACRELÂNDIA;MDB;Vereador;13;1;1418;1300;118
2020;NORTE;AC;ACRELÂNDIA;PDT;Vereador;13;1;224;170;54
2020;NORTE;AC;ACRELÂNDIA;PL;Vereador;13;1;261;256;5
2020;NORTE;AC;ACRELÂNDIA;PP;Vereador;13;1;1509;1372;137
2020;NORTE;AC;ACRELÂNDIA;PROS;Vereador;13;1;525;489;36
2020;NORTE;AC;ACRELÂNDIA;PSD;Vereador;13;1;724;705;19
2020;NORTE;AC;ACRELÂNDIA;PSDB;Vereador;13;1;1066;1045;21
2020;NORTE;AC;ACRELÂNDIA;SOLIDARIEDADE;Vereador;13;1;1043;1023;20
2020;NORTE;AC;ASSIS BRASIL;MDB;Vereador;13;1;608;567;41
2020;NORTE;AC;ASSIS BRASIL;PC do B;Vereador;13;1;1007;937;70
2020;NORTE;AC;ASSIS BRASIL;PP;Vereador;13;1;306;285;21
2020;NORTE;AC;ASSIS BRASIL;PSB;Vereador;13;1;176;171;5
2020;NORTE;AC;ASSIS BRASIL;PSD;Vereador;13;1;1028;975;53
2020;NORTE;AC;ASSIS BRASIL;PSDB;Vereador;13;1;723;648;75
2020;NORTE;AC;ASSIS BRASIL;PT;Vereador;13;1;887;781;106
2020;NORTE;AC;BRASILÉIA;DC;Vereador;13;1;414;410;4
2020;NORTE;AC;BRASILÉIA;MDB;Vereador;13;1;1828;1566;262
2020;NORTE;AC;BRASILÉIA;PC do B;Vereador;13;1;154;150;4
2020;NORTE;AC;BRASILÉIA;PP;Vereador;13;1;886;837;49
2020;NORTE;AC;BRASILÉIA;PROS;Vereador;13;1;1919;1887;32
2020;NORTE;AC;BRASILÉIA;PSB;Vereador;13;1;1526;1488;38
2020;NORTE;AC;BRASILÉIA;PSD;Vereador;13;1;1360;1329;31
2020;NORTE;AC;BRASILÉIA;PSDB;Vereador;13;1;394;358;36
2020;NORTE;AC;BRASILÉIA;PSL;Vereador;13;1;483;469;14
2020;NORTE;AC;BRASILÉIA;PT;Vereador;13;1;2836;2490;346
2020;NORTE;AC;BRASILÉIA;SOLIDARIEDADE;Vereador;13;1;1231;1200;31
2020;NORTE;AC;BUJARI;MDB;Vereador;13;1;701;685;16
2020;NORTE;AC;BUJARI;PATRIOTA;Vereador;13;1;364;362;2
2020;NORTE;AC;BUJARI;PC do B;Vereador;13;1;438;431;7
2020;NORTE;AC;BUJARI;PDT;Vereador;13;1;713;526;187
2020;NORTE;AC;BUJARI;PP;Vereador;13;1;1499;1396;103
2020;NORTE;AC;BUJARI;PROS;Vereador;13;1;864;847;17
2020;NORTE;AC;BUJARI;PSB;Vereador;13;1;388;356;32
2020;NORTE;AC;BUJARI;PSD;Vereador;13;1;599;588;11
2020;NORTE;AC;BUJARI;PSDB;Vereador;13;1;577;560;17
2020;NORTE;AC;BUJARI;PT;Vereador;13;1;284;267;17
2020;NORTE;AC;BUJARI;REPUBLICANOS;Vereador;13;1;327;316;11
2020;NORTE;AC;BUJARI;SOLIDARIEDADE;Vereador;13;1;425;392;33
2020;NORTE;AC;CAPIXABA;DEM;Vereador;13;1;1528;1424;104
2020;NORTE;AC;CAPIXABA;MDB;Vereador;13;1;791;714;77
2020;NORTE;AC;CAPIXABA;PDT;Vereador;13;1;318;301;17
2020;NORTE;AC;CAPIXABA;PP;Vereador;13;1;553;531;22
2020;NORTE;AC;CAPIXABA;PROS;Vereador;13;1;377;376;1
2020;NORTE;AC;CAPIXABA;PSD;Vereador;13;1;355;346;9
2020;NORTE;AC;CAPIXABA;PSDB;Vereador;13;1;286;274;12
2020;NORTE;AC;CAPIXABA;PT;Vereador;13;1;386;320;66
2020;NORTE;AC;CAPIXABA;PTB;Vereador;13;1;339;291;48
2020;NORTE;AC;CAPIXABA;REPUBLICANOS;Vereador;13;1;461;447;14
2020;NORTE;AC;CAPIXABA;SOLIDARIEDADE;Vereador;13;1;607;594;13
2020;NORTE;AC;CRUZEIRO DO SUL;AVANTE;Vereador;13;1;1392;1367;25
2020;NORTE;AC;CRUZEIRO DO SUL;DC;Vereador;13;1;117;113;4
2020;NORTE;AC;CRUZEIRO DO SUL;DEM;Vereador;13;1;4003;3922;81
2020;NORTE;AC;CRUZEIRO DO SUL;MDB;Vereador;13;1;8531;7853;678
2020;NORTE;AC;CRUZEIRO DO SUL;PC do B;Vereador;13;1;1516;1485;31
2020;NORTE;AC;CRUZEIRO DO SUL;PDT;Vereador;13;1;3747;3613;134
2020;NORTE;AC;CRUZEIRO DO SUL;PL;Vereador;13;1;210;173;37
2020;NORTE;AC;CRUZEIRO DO SUL;PP;Vereador;13;1;7107;6477;630
2020;NORTE;AC;CRUZEIRO DO SUL;PROS;Vereador;13;1;5341;5294;47
2020;NORTE;AC;CRUZEIRO DO SUL;PSB;Vereador;13;1;248;239;9
2020;NORTE;AC;CRUZEIRO DO SUL;PSD;Vereador;13;1;4215;4140;75
2020;NORTE;AC;CRUZEIRO DO SUL;PSDB;Vereador;13;1;3613;3533;80
2020;NORTE;AC;CRUZEIRO DO SUL;PSL;Vereador;13;1;1503;1255;248
2020;NORTE;AC;CRUZEIRO DO SUL;SOLIDARIEDADE;Vereador;13;1;1475;1415;60
2020;NORTE;AC;EPITACIOLÂNDIA;DEM;Vereador;13;1;228;224;4
2020;NORTE;AC;EPITACIOLÂNDIA;MDB;Vereador;13;1;655;639;16
2020;NORTE;AC;EPITACIOLÂNDIA;PODE;Vereador;13;1;768;749;19
2020;NORTE;AC;EPITACIOLÂNDIA;PP;Vereador;13;1;1417;1333;84
2020;NORTE;AC;EPITACIOLÂNDIA;PROS;Vereador;13;1;471;462;9
2020;NORTE;AC;EPITACIOLÂNDIA;PSC;Vereador;13;1;131;129;2
2020;NORTE;AC;EPITACIOLÂNDIA;PSD;Vereador;13;1;1215;1187;28
2020;NORTE;AC;EPITACIOLÂNDIA;PSDB;Vereador;13;1;1142;911;231
2020;NORTE;AC;EPITACIOLÂNDIA;PSL;Vereador;13;1;897;735;162
2020;NORTE;AC;EPITACIOLÂNDIA;PT;Vereador;13;1;1244;1122;122
2020;NORTE;AC;EPITACIOLÂNDIA;SOLIDARIEDADE;Vereador;13;1;957;936;21
2020;NORTE;AC;FEIJÓ;DEM;Vereador;13;1;1846;1804;42
2020;NORTE;AC;FEIJÓ;MDB;Vereador;13;1;642;463;179
2020;NORTE;AC;FEIJÓ;PC do B;Vereador;13;1;573;565;8
2020;NORTE;AC;FEIJÓ;PDT;Vereador;13;1;1317;1244;73
2020;NORTE;AC;FEIJÓ;PP;Vereador;13;1;4264;3908;356
2020;NORTE;AC;FEIJÓ;PSB;Vereador;13;1;1189;1163;26
2020;NORTE;AC;FEIJÓ;PSD;Vereador;13;1;1390;1339;51
2020;NORTE;AC;FEIJÓ;PSDB;Vereador;13;1;1517;1479;38
2020;NORTE;AC;FEIJÓ;PSL;Vereador;13;1;714;670;44
2020;NORTE;AC;FEIJÓ;PT;Vereador;13;1;586;547;39
2020;NORTE;AC;FEIJÓ;SOLIDARIEDADE;Vereador;13;1;1713;1624;89
2020;NORTE;AC;JORDÃO;MDB;Vereador;13;1;763;713;50
2020;NORTE;AC;JORDÃO;PC do B;Vereador;13;1;678;633;45
2020;NORTE;AC;JORDÃO;PDT;Vereador;13;1;1235;1160;75
2020;NORTE;AC;JORDÃO;PL;Vereador;13;1;482;463;19
2020;NORTE;AC;JORDÃO;PSD;Vereador;13;1;73;67;6
2020;NORTE;AC;JORDÃO;PSDB;Vereador;13;1;438;427;11
2020;NORTE;AC;JORDÃO;PT;Vereador;13;1;397;357;40
2020;NORTE;AC;MANOEL URBANO;DEM;Vereador;13;1;766;739;27
2020;NORTE;AC;MANOEL URBANO;MDB;Vereador;13;1;1150;997;153
2020;NORTE;AC;MANOEL URBANO;PC do B;Vereador;13;1;74;74;0
2020;NORTE;AC;MANOEL URBANO;PP;Vereador;13;1;756;721;35
2020;NORTE;AC;MANOEL URBANO;PSB;Vereador;13;1;375;370;5
2020;NORTE;AC;MANOEL URBANO;PSD;Vereador;13;1;1217;1121;96
2020;NORTE;AC;MANOEL URBANO;PSDB;Vereador;13;1;405;391;14
2020;NORTE;AC;MANOEL URBANO;PT;Vereador;13;1;756;729;27
2020;NORTE;AC;MARECHAL THAUMATURGO;MDB;Vereador;13;1;686;670;16
2020;NORTE;AC;MARECHAL THAUMATURGO;PC do B;Vereador;13;1;708;692;16
2020;NORTE;AC;MARECHAL THAUMATURGO;PDT;Vereador;13;1;530;497;33
2020;NORTE;AC;MARECHAL THAUMATURGO;PP;Vereador;13;1;1012;975;37
2020;NORTE;AC;MARECHAL THAUMATURGO;PROS;Vereador;13;1;533;515;18
2020;NORTE;AC;MARECHAL THAUMATURGO;PSB;Vereador;13;1;528;515;13
2020;NORTE;AC;MARECHAL THAUMATURGO;PSC;Vereador;13;1;102;102;0
2020;NORTE;AC;MARECHAL THAUMATURGO;PSD;Vereador;13;1;1976;1862;114
2020;NORTE;AC;MARECHAL THAUMATURGO;PSDB;Vereador;13;1;681;663;18
2020;NORTE;AC;MARECHAL THAUMATURGO;PT;Vereador;13;1;932;845;87
2020;NORTE;AC;MARECHAL THAUMATURGO;SOLIDARIEDADE;Vereador;13;1;729;710;19
2020;NORTE;AC;MÂNCIO LIMA;MDB;Vereador;13;1;1566;1431;135
2020;NORTE;AC;MÂNCIO LIMA;PC do B;Vereador;13;1;660;656;4
2020;NORTE;AC;MÂNCIO LIMA;PDT;Vereador;13;1;641;584;57
2020;NORTE;AC;MÂNCIO LIMA;PP;Vereador;13;1;1597;1450;147
2020;NORTE;AC;MÂNCIO LIMA;PROS;Vereador;13;1;695;682;13
2020;NORTE;AC;MÂNCIO LIMA;PSD;Vereador;13;1;1001;975;26
2020;NORTE;AC;MÂNCIO LIMA;PSDB;Vereador;13;1;829;810;19
2020;NORTE;AC;MÂNCIO LIMA;PSL;Vereador;13;1;172;169;3
2020;NORTE;AC;MÂNCIO LIMA;PT;Vereador;13;1;2597;2481;116
2020;NORTE;AC;MÂNCIO LIMA;REPUBLICANOS;Vereador;13;1;981;946;35
2020;NORTE;AC;PLÁCIDO DE CASTRO;DEM;Vereador;13;1;1412;1387;25
2020;NORTE;AC;PLÁCIDO DE CASTRO;MDB;Vereador;13;1;1131;984;147
2020;NORTE;AC;PLÁCIDO DE CASTRO;PDT;Vereador;13;1;310;272;38
2020;NORTE;AC;PLÁCIDO DE CASTRO;PP;Vereador;13;1;1068;1031;37
2020;NORTE;AC;PLÁCIDO DE CASTRO;PSB;Vereador;13;1;899;888;11
2020;NORTE;AC;PLÁCIDO DE CASTRO;PSD;Vereador;13;1;1198;1034;164
2020;NORTE;AC;PLÁCIDO DE CASTRO;PSDB;Vereador;13;1;1689;1557;132
2020;NORTE;AC;PLÁCIDO DE CASTRO;PSL;Vereador;13;1;164;149;15
2020;NORTE;AC;PLÁCIDO DE CASTRO;PT;Vereador;13;1;880;860;20
2020;NORTE;AC;PLÁCIDO DE CASTRO;REPUBLICANOS;Vereador;13;1;824;802;22
2020;NORTE;AC;PORTO ACRE;DEM;Vereador;13;1;846;833;13
2020;NORTE;AC;PORTO ACRE;MDB;Vereador;13;1;754;620;134
2020;NORTE;AC;PORTO ACRE;PC do B;Vereador;13;1;556;547;9
2020;NORTE;AC;PORTO ACRE;PL;Vereador;13;1;665;598;67
2020;NORTE;AC;PORTO ACRE;PP;Vereador;13;1;2538;2248;290
2020;NORTE;AC;PORTO ACRE;PROS;Vereador;13;1;950;931;19
2020;NORTE;AC;PORTO ACRE;PSB;Vereador;13;1;204;198;6
2020;NORTE;AC;PORTO ACRE;PSD;Vereador;13;1;1204;1179;25
2020;NORTE;AC;PORTO ACRE;PSDB;Vereador;13;1;159;152;7
2020;NORTE;AC;PORTO ACRE;PSL;Vereador;13;1;155;127;28
2020;NORTE;AC;PORTO ACRE;PTB;Vereador;13;1;46;42;4
2020;NORTE;AC;PORTO ACRE;REPUBLICANOS;Vereador;13;1;1090;998;92
2020;NORTE;AC;PORTO ACRE;SOLIDARIEDADE;Vereador;13;1;555;545;10
2020;NORTE;AC;PORTO WALTER;DEM;Vereador;13;1;272;263;9
2020;NORTE;AC;PORTO WALTER;MDB;Vereador;13;1;1657;1538;119
2020;NORTE;AC;PORTO WALTER;PC do B;Vereador;13;1;626;614;12
2020;NORTE;AC;PORTO WALTER;PDT;Vereador;13;1;134;101;33
2020;NORTE;AC;PORTO WALTER;PROS;Vereador;13;1;766;729;37
2020;NORTE;AC;PORTO WALTER;PSB;Vereador;13;;0;0;0
2020;NORTE;AC;PORTO WALTER;PSD;Vereador;13;1;1212;1192;20
2020;NORTE;AC;PORTO WALTER;PSDB;Vereador;13;1;328;294;34
2020;NORTE;AC;PORTO WALTER;PT;Vereador;13;1;480;461;19
2020;NORTE;AC;RIO BRANCO;AVANTE;Vereador;13;1;5628;5495;133
2020;NORTE;AC;RIO BRANCO;CIDADANIA;Vereador;13;1;4603;4536;67
2020;NORTE;AC;RIO BRANCO;DC;Vereador;13;1;3264;3214;50
2020;NORTE;AC;RIO BRANCO;DEM;Vereador;13;1;8487;8371;116
2020;NORTE;AC;RIO BRANCO;MDB;Vereador;13;1;13774;12866;908
2020;NORTE;AC;RIO BRANCO;PATRIOTA;Vereador;13;1;4865;4795;70
2020;NORTE;AC;RIO BRANCO;PC do B;Vereador;13;1;4059;3996;63
2020;NORTE;AC;RIO BRANCO;PCB;Vereador;13;1;346;292;54
2020;NORTE;AC;RIO BRANCO;PCO;Vereador;13;1;6;1;5
2020;NORTE;AC;RIO BRANCO;PDT;Vereador;13;1;19317;18983;334
2020;NORTE;AC;RIO BRANCO;PL;Vereador;13;1;4494;4374;120
2020;NORTE;AC;RIO BRANCO;PMB;Vereador;13;1;43;35;8
2020;NORTE;AC;RIO BRANCO;PMN;Vereador;13;1;89;51;38
2020;NORTE;AC;RIO BRANCO;PODE;Vereador;13;1;8337;8245;92
2020;NORTE;AC;RIO BRANCO;PP;Vereador;13;1;17623;13330;4293
2020;NORTE;AC;RIO BRANCO;PROS;Vereador;13;1;2833;2807;26
2020;NORTE;AC;RIO BRANCO;PSB;Vereador;13;1;20196;18683;1513
2020;NORTE;AC;RIO BRANCO;PSC;Vereador;13;1;4412;4282;130
2020;NORTE;AC;RIO BRANCO;PSD;Vereador;13;1;10841;10678;163
2020;NORTE;AC;RIO BRANCO;PSDB;Vereador;13;1;13888;12885;1003
2020;NORTE;AC;RIO BRANCO;PSL;Vereador;13;1;7521;7391;130
2020;NORTE;AC;RIO BRANCO;PSOL;Vereador;13;1;1139;1094;45
2020;NORTE;AC;RIO BRANCO;PT;Vereador;13;1;4021;3205;816
2020;NORTE;AC;RIO BRANCO;PTB;Vereador;13;1;3078;3002;76
2020;NORTE;AC;RIO BRANCO;PV;Vereador;13;1;4183;4119;64
2020;NORTE;AC;RIO BRANCO;REPUBLICANOS;Vereador;13;1;5241;5122;119
2020;NORTE;AC;RIO BRANCO;SOLIDARIEDADE;Vereador;13;1;6273;6148;125
2020;NORTE;AC;RODRIGUES ALVES;DEM;Vereador;13;1;159;156;3
2020;NORTE;AC;RODRIGUES ALVES;MDB;Vereador;13;1;1805;1761;44
2020;NORTE;AC;RODRIGUES ALVES;PC do B;Vereador;13;1;998;976;22
2020;NORTE;AC;RODRIGUES ALVES;PDT;Vereador;13;1;1205;1156;49
2020;NORTE;AC;RODRIGUES ALVES;PP;Vereador;13;1;200;161;39
2020;NORTE;AC;RODRIGUES ALVES;PROS;Vereador;13;1;2275;2097;178
2020;NORTE;AC;RODRIGUES ALVES;PSD;Vereador;13;1;1654;1621;33
2020;NORTE;AC;RODRIGUES ALVES;PSL;Vereador;13;1;49;48;1
2020;NORTE;AC;RODRIGUES ALVES;PSOL;Vereador;13;1;4;0;4
2020;NORTE;AC;RODRIGUES ALVES;PT;Vereador;13;1;732;680;52
2020;NORTE;AC;SANTA ROSA DO PURUS;DEM;Vereador;13;1;572;556;16
2020;NORTE;AC;SANTA ROSA DO PURUS;MDB;Vereador;13;1;610;566;44
2020;NORTE;AC;SANTA ROSA DO PURUS;PP;Vereador;13;1;501;454;47
2020;NORTE;AC;SANTA ROSA DO PURUS;PROS;Vereador;13;1;48;44;4
2020;NORTE;AC;SANTA ROSA DO PURUS;PSD;Vereador;13;1;510;500;10
2020;NORTE;AC;SANTA ROSA DO PURUS;PSDB;Vereador;13;1;378;351;27
2020;NORTE;AC;SANTA ROSA DO PURUS;PT;Vereador;13;1;1;0;1
2020;NORTE;AC;SANTA ROSA DO PURUS;SOLIDARIEDADE;Vereador;13;1;204;178;26
2020;NORTE;AC;SENA MADUREIRA;DEM;Vereador;13;1;2093;2043;50
2020;NORTE;AC;SENA MADUREIRA;MDB;Vereador;13;1;7108;6633;475
2020;NORTE;AC;SENA MADUREIRA;PDT;Vereador;13;1;193;116;77
2020;NORTE;AC;SENA MADUREIRA;PP;Vereador;13;1;5465;5089;376
2020;NORTE;AC;SENA MADUREIRA;PSB;Vereador;13;1;120;114;6
2020;NORTE;AC;SENA MADUREIRA;PSD;Vereador;13;1;1144;1112;32
2020;NORTE;AC;SENA MADUREIRA;PSDB;Vereador;13;1;2347;2279;68
2020;NORTE;AC;SENA MADUREIRA;PTB;Vereador;13;1;3146;3064;82
2020;NORTE;AC;SENADOR GUIOMARD;MDB;Vereador;13;1;1800;1637;163
2020;NORTE;AC;SENADOR GUIOMARD;PL;Vereador;13;1;1102;1076;26
2020;NORTE;AC;SENADOR GUIOMARD;PP;Vereador;13;1;4251;4027;224
2020;NORTE;AC;SENADOR GUIOMARD;PSD;Vereador;13;1;1614;1584;30
2020;NORTE;AC;SENADOR GUIOMARD;PSDB;Vereador;13;1;1262;1161;101
2020;NORTE;AC;SENADOR GUIOMARD;PSL;Vereador;13;1;392;372;20
2020;NORTE;AC;SENADOR GUIOMARD;REPUBLICANOS;Vereador;13;1;703;697;6
2020;NORTE;AC;SENADOR GUIOMARD;SOLIDARIEDADE;Vereador;13;1;2617;2376;241
2020;NORTE;AC;TARAUACÁ;DC;Vereador;13;1;81;78;3
2020;NORTE;AC;TARAUACÁ;DEM;Vereador;13;1;2023;1805;218
2020;NORTE;AC;TARAUACÁ;MDB;Vereador;13;1;2137;1959;178
2020;NORTE;AC;TARAUACÁ;PC do B;Vereador;13;1;2579;2360;219
2020;NORTE;AC;TARAUACÁ;PDT;Vereador;13;1;3578;3248;330
2020;NORTE;AC;TARAUACÁ;PP;Vereador;13;1;1178;1110;68
2020;NORTE;AC;TARAUACÁ;PSD;Vereador;13;1;2596;2503;93
2020;NORTE;AC;TARAUACÁ;PSDB;Vereador;13;1;3665;3569;96
2020;NORTE;AC;TARAUACÁ;PSOL;Vereador;13;1;604;573;31
2020;NORTE;AC;TARAUACÁ;PT;Vereador;13;1;318;300;18
2020;NORTE;AC;XAPURI;DEM;Vereador;13;1;2277;2219;58
2020;NORTE;AC;XAPURI;MDB;Vereador;13;1;1318;1221;97
2020;NORTE;AC;XAPURI;PSB;Vereador;13;1;1581;1534;47
2020;NORTE;AC;XAPURI;PSD;Vereador;13;1;1480;1325;155
2020;NORTE;AC;XAPURI;PSOL;Vereador;13;1;46;41;5
2020;NORTE;AC;XAPURI;PT;Vereador;13;1;2063;1800;263
2020;NORDESTE;AL;ANADIA;PP;Vereador;13;1;6778;6473;305
2020;NORDESTE;AL;ANADIA;PROS;Vereador;13;1;110;104;6
2020;NORDESTE;AL;ANADIA;PTB;Vereador;13;1;2072;2025;47
2020;NORDESTE;AL;ARAPIRACA;AVANTE;Vereador;13;1;6784;6669;115
2020;NORDESTE;AL;ARAPIRACA;CIDADANIA;Vereador;13;1;1232;1157;75
2020;NORDESTE;AL;ARAPIRACA;DC;Vereador;13;1;96;92;4
2020;NORDESTE;AL;ARAPIRACA;DEM;Vereador;13;1;2111;2059;52
2020;NORDESTE;AL;ARAPIRACA;MDB;Vereador;13;1;23003;20906;2097
2020;NORDESTE;AL;ARAPIRACA;PATRIOTA;Vereador;13;1;3451;3316;135
2020;NORDESTE;AL;ARAPIRACA;PDT;Vereador;13;1;293;10;283
2020;NORDESTE;AL;ARAPIRACA;PL;Vereador;13;1;67;5;62
2020;NORDESTE;AL;ARAPIRACA;PMN;Vereador;13;1;2904;2825;79
2020;NORDESTE;AL;ARAPIRACA;PP;Vereador;13;1;9730;8729;1001
2020;NORDESTE;AL;ARAPIRACA;PROS;Vereador;13;1;8885;8774;111
2020;NORDESTE;AL;ARAPIRACA;PSC;Vereador;13;1;4127;4068;59
2020;NORDESTE;AL;ARAPIRACA;PSDB;Vereador;13;1;18883;18627;256
2020;NORDESTE;AL;ARAPIRACA;PSL;Vereador;13;1;3897;3816;81
2020;NORDESTE;AL;ARAPIRACA;PSOL;Vereador;13;1;791;731;60
2020;NORDESTE;AL;ARAPIRACA;PT;Vereador;13;1;1494;1414;80
2020;NORDESTE;AL;ARAPIRACA;PTC;Vereador;13;1;9;0;9
2020;NORDESTE;AL;ARAPIRACA;PV;Vereador;13;1;1594;1568;26
2020;NORDESTE;AL;ARAPIRACA;REPUBLICANOS;Vereador;13;1;15550;14598;952
2020;NORDESTE;AL;ARAPIRACA;SOLIDARIEDADE;Vereador;13;1;3142;2861;281
2020;NORDESTE;AL;ATALAIA;MDB;Vereador;13;1;11789;11257;532
2020;NORDESTE;AL;ATALAIA;PP;Vereador;13;1;3362;3224;138
2020;NORDESTE;AL;ATALAIA;PSC;Vereador;13;1;6922;6306;616
2020;NORDESTE;AL;ATALAIA;PT;Vereador;13;1;118;99;19
2020;NORDESTE;AL;ATALAIA;REPUBLICANOS;Vereador;13;1;159;130;29
2020;NORDESTE;AL;BARRA DE SANTO ANTÔNIO;DEM;Vereador;13;1;3316;3143;173
2020;NORDESTE;AL;BARRA DE SANTO ANTÔNIO;PL;Vereador;13;1;2618;2563;55
2020;NORDESTE;AL;BARRA DE SANTO ANTÔNIO;PP;Vereador;13;1;921;895;26
2020;NORDESTE;AL;BARRA DE SANTO ANTÔNIO;PTB;Vereador;13;1;206;0;206
2020;NORDESTE;AL;BARRA DE SÃO MIGUEL;MDB;Vereador;13;1;1597;1577;20
2020;NORDESTE;AL;BARRA DE SÃO MIGUEL;PC do B;Vereador;13;1;18;16;2
2020;NORDESTE;AL;BARRA DE SÃO MIGUEL;PP;Vereador;13;1;1848;1741;107
2020;NORDESTE;AL;BARRA DE SÃO MIGUEL;PTB;Vereador;13;1;1245;1173;72
2020;NORDESTE;AL;BARRA DE SÃO MIGUEL;REPUBLICANOS;Vereador;13;1;6;0;6
2020;NORDESTE;AL;BATALHA;AVANTE;Vereador;13;1;64;46;18
2020;NORDESTE;AL;BATALHA;DEM;Vereador;13;1;1514;1404;110
2020;NORDESTE;AL;BATALHA;MDB;Vereador;13;1;4875;4658;217
2020;NORDESTE;AL;BATALHA;PP;Vereador;13;1;3711;3636;75
2020;NORDESTE;AL;BATALHA;PSB;Vereador;13;1;9;4;5
2020;NORDESTE;AL;BELO MONTE;PTB;Vereador;13;1;3355;3192;163
2020;NORDESTE;AL;BELÉM;MDB;Vereador;13;1;1206;1122;84
2020;NORDESTE;AL;BELÉM;PATRIOTA;Vereador;13;1;51;47;4
2020;NORDESTE;AL;BELÉM;PP;Vereador;13;1;1143;1109;34
2020;NORDESTE;AL;BELÉM;PSC;Vereador;13;1;999;942;57
2020;NORDESTE;AL;BELÉM;PSD;Vereador;13;1;13;11;2
2020;NORDESTE;AL;BELÉM;PT;Vereador;13;1;271;264;7
2020;NORDESTE;AL;BOCA DA MATA;DC;Vereador;13;1;428;426;2
2020;NORDESTE;AL;BOCA DA MATA;MDB;Vereador;13;1;2443;2174;269
2020;NORDESTE;AL;BOCA DA MATA;PDT;Vereador;13;1;1813;1729;84
2020;NORDESTE;AL;BOCA DA MATA;PL;Vereador;13;1;215;0;215
2020;NORDESTE;AL;BOCA DA MATA;PP;Vereador;13;1;8990;8801;189
2020;NORDESTE;AL;BRANQUINHA;CIDADANIA;Vereador;13;1;20;11;9
2020;NORDESTE;AL;BRANQUINHA;MDB;Vereador;13;1;1390;1182;208
2020;NORDESTE;AL;BRANQUINHA;PL;Vereador;13;1;1525;1425;100
2020;NORDESTE;AL;BRANQUINHA;PP;Vereador;13;1;1481;1444;37
2020;NORDESTE;AL;BRANQUINHA;PRTB;Vereador;13;1;82;82;0
2020;NORDESTE;AL;BRANQUINHA;PT;Vereador;13;1;287;269;18
2020;NORDESTE;AL;BRANQUINHA;PV;Vereador;13;1;1529;1488;41
2020;NORDESTE;AL;CACIMBINHAS;CIDADANIA;Vereador;13;1;259;228;31
2020;NORDESTE;AL;CACIMBINHAS;MDB;Vereador;13;1;5409;5060;349
2020;NORDESTE;AL;CAJUEIRO;AVANTE;Vereador;13;1;268;250;18
2020;NORDESTE;AL;CAJUEIRO;MDB;Vereador;13;1;5153;4915;238
2020;NORDESTE;AL;CAJUEIRO;PMN;Vereador;13;1;996;944;52
2020;NORDESTE;AL;CAJUEIRO;PODE;Vereador;13;1;2343;2096;247
2020;NORDESTE;AL;CAJUEIRO;PT;Vereador;13;1;15;5;10
2020;NORDESTE;AL;CAJUEIRO;REPUBLICANOS;Vereador;13;1;1200;1166;34
2020;NORDESTE;AL;CAMPESTRE;MDB;Vereador;13;1;2087;1991;96
2020;NORDESTE;AL;CAMPESTRE;PL;Vereador;13;1;1549;1521;28
2020;NORDESTE;AL;CAMPESTRE;PMN;Vereador;13;1;612;551;61
2020;NORDESTE;AL;CAMPO ALEGRE;MDB;Vereador;13;1;7312;7160;152
2020;NORDESTE;AL;CAMPO ALEGRE;PP;Vereador;13;1;8072;7580;492
2020;NORDESTE;AL;CAMPO ALEGRE;PT;Vereador;13;1;35;22;13
2020;NORDESTE;AL;CAMPO ALEGRE;PTB;Vereador;13;1;2157;1890;267
2020;NORDESTE;AL;CAMPO GRANDE;MDB;Vereador;13;1;1289;1207;82
2020;NORDESTE;AL;CAMPO GRANDE;PDT;Vereador;13;1;2001;1920;81
2020;NORDESTE;AL;CAMPO GRANDE;PROS;Vereador;13;1;99;95;4
2020;NORDESTE;AL;CAMPO GRANDE;PTB;Vereador;13;1;725;695;30
2020;NORDESTE;AL;CAMPO GRANDE;REPUBLICANOS;Vereador;13;1;2422;2368;54
2020;NORDESTE;AL;CANAPI;DEM;Vereador;13;1;4380;4282;98
2020;NORDESTE;AL;CANAPI;MDB;Vereador;13;1;544;514;30
2020;NORDESTE;AL;CANAPI;PP;Vereador;13;1;4704;4419;285
2020;NORDESTE;AL;CANAPI;PSDB;Vereador;13;1;35;21;14
2020;NORDESTE;AL;CANAPI;PT;Vereador;13;1;155;53;102
2020;NORDESTE;AL;CAPELA;MDB;Vereador;13;1;5487;5158;329
2020;NORDESTE;AL;CAPELA;PODE;Vereador;13;1;4331;4072;259
2020;NORDESTE;AL;CARNEIROS;MDB;Vereador;13;1;1704;1520;184
2020;NORDESTE;AL;CARNEIROS;PP;Vereador;13;1;140;121;19
2020;NORDESTE;AL;CARNEIROS;PROS;Vereador;13;1;196;195;1
2020;NORDESTE;AL;CARNEIROS;PSC;Vereador;13;1;2197;2158;39
2020;NORDESTE;AL;CARNEIROS;PTB;Vereador;13;1;689;632;57
2020;NORDESTE;AL;CHÃ PRETA;DEM;Vereador;13;1;142;140;2
2020;NORDESTE;AL;CHÃ PRETA;MDB;Vereador;13;1;1698;1566;132
2020;NORDESTE;AL;CHÃ PRETA;PMN;Vereador;13;1;2432;2350;82
2020;NORDESTE;AL;CHÃ PRETA;PSDB;Vereador;13;1;78;72;6
